main_category,subcategory,sub_subcategory,author_name,date,volume,page
works,otherSeparateWorks,houseFame,Baldwin,[1561],I,95-96
works,otherSeparateWorks,houseFame,Bossewell,1572,I,109
works,otherSeparateWorks,houseFame,[Shakespeare,[1589-90?],I,131
works,otherSeparateWorks,houseFame,Peele,1593,I,140
works,otherSeparateWorks,houseFame,Thynne,1600,I,166
works,otherSeparateWorks,houseFame,Jonson,[1609],I,184
works,otherSeparateWorks,houseFame,Jonson,[1625?],I,199
works,otherSeparateWorks,houseFame,Campbell,1819,II,112-113
works,otherSeparateWorks,houseFame,Unknown,1832,II,187
works,otherSeparateWorks,houseFame,Gomont,1847,V,56
works,otherSeparateWorks,houseFame,ff.,1877,V,148-149
works,otherSeparateWorks,houseFame,Crow,1892,V,152
works,otherSeparateWorks,houseFame,Unknown,1854,III,19-20
works,otherSeparateWorks,complaintMars,Shirley,[c. 1450],I,48
works,otherSeparateWorks,complaintMars,Bell,1841,II,234.
works,otherSeparateWorks,fortune,Shirley,[c. 1430-40],I,43
works,otherSeparateWorks,fortune,Caxton,[1477-8],I,58
works,otherSeparateWorks,fortune,Pynson,1526,I,75.
works,otherSeparateWorks,gentilesse,Shirley,[c. 1450],I,47-48
works,otherSeparateWorks,gentilesse,Chaucer,[1477-8],I,58
works,otherSeparateWorks,gentilesse,Scogan,[c. 1407],I,19
works,otherSeparateWorks,gentilesse,Bossewell,1572,I,108.
works,otherSeparateWorks,minorPoems,Chaucer,1846,II,267
works,otherSeparateWorks,minorPoems,Furnivall,1871-3,III,113
works,otherSeparateWorks,minorPoems,Bright,1889,III,139
works,otherSeparateWorks,minorPoems,Koch,1883,III,135
works,otherSeparateWorks,minorPoems,Koch,1880,V,150.
works,otherSeparateWorks,troilus,Chaucer,[c. 1483?],I,60
works,otherSeparateWorks,troilus,Chaucer,1517,I,72
works,otherSeparateWorks,troilus,Chaucer,1526,I,75
works,otherSeparateWorks,troilus,Chaucer,1846,II,267
works,otherSeparateWorks,troilus,Sidnam,[c. 1630],I,203
works,otherSeparateWorks,troilus,Kynaston,1635,I,207
works,otherSeparateWorks,troilus,Barker,1635,I,207-208
works,otherSeparateWorks,troilus,Cartwright,1685,I,208
works,otherSeparateWorks,troilus,Corbet,1635,I,209
works,otherSeparateWorks,troilus,Crouther,1635,I,209-210
works,otherSeparateWorks,troilus,Digges,1635,I,210
works,otherSeparateWorks,troilus,Evans,1635,I,210-211
works,otherSeparateWorks,troilus,Foulis,1635,I,211
works,otherSeparateWorks,troilus,Gowen,1635,I,212
