Unknown, [c. 1420], i. 26;
Unknwon, [c. 1420-30], i. 32;
Drayton, 1593, i. 139;
Άποδημουντόφιλος, 1611, i. 185;
Skelton, 1510-23, iv. 10-11;
Wyatt, [a. 1542], i. 83-44;
Thynne, 1600, i. 165-166;
Hurd, 1762, i. 422;
Hurdn, 1765, iv. 93-94;
Percy, 1765, i. 427-429;
Bossewell, 1572, i. 109;
Spenser, 1599, i. 161;
Lloyd, 1648, iv. 71;
Lyly, 1591, i. 134.
